title,views,likes,comment_count
Video 0,314508,47975,7734
Video 1,1976,44875,6335
Video 2,332114,12686,6343
Video 3,599282,29760,7416
Video 4,950998,2830,4386
Video 5,302373,11393,8823
Video 6,471538,19569,5126
Video 7,481579,13257,9959
Video 8,283534,39050,2355
Video 9,752735,27221,4271
Video 10,31903,20813,9965
Video 11,61708,18203,5218
Video 12,759136,7541,8627
Video 13,924203,46259,4209
Video 14,911256,5483,9216
Video 15,534899,18681,8381
Video 16,540164,16856,9707
Video 17,270728,5705,2504
Video 18,909414,16600,8766
Video 19,605686,7748,826
Video 20,520815,5533,3051
Video 21,839059,35606,5879
Video 22,762471,13373,4315
Video 23,937965,3039,6346
Video 24,36912,39237,5920
Video 25,346198,42241,1121
Video 26,143658,16327,6567
Video 27,850818,4206,1403
Video 28,647651,20115,7203
Video 29,761750,49312,3324
Video 30,679740,36993,2883
Video 31,635506,29326,7578
Video 32,962482,24537,9338
Video 33,794326,10881,1712
Video 34,416372,44349,6106
Video 35,619532,7277,3093
Video 36,349807,4665,5416
Video 37,797431,21245,4537
Video 38,61572,38648,4934
Video 39,912963,16605,4480
Video 40,112134,15487,4142
Video 41,309359,3281,544
Video 42,126466,24498,7424
Video 43,495084,22082,7921
Video 44,235418,38474,9441
Video 45,505628,39912,3705
Video 46,752322,13613,5987
Video 47,460442,32092,1119
Video 48,289999,37672,3109
Video 49,309620,13766,2478
Video 50,603735,34506,5560
Video 51,379791,12039,2941
Video 52,144200,48417,3744
Video 53,31482,42222,5427
Video 54,656801,38552,1792
Video 55,892805,3513,8568
Video 56,882171,18559,8484
Video 57,680681,1818,6316
Video 58,293519,35076,6435
Video 59,6587,9659,2047
Video 60,391718,39569,634
Video 61,501340,48233,6923
Video 62,447165,4897,8576
Video 63,305445,32609,1258
Video 64,901959,8816,9277
Video 65,942258,33699,7635
Video 66,97456,4392,5039
Video 67,431078,49989,6690
Video 68,923785,41694,1768
Video 69,962735,13232,9977
Video 70,831547,26940,1040
Video 71,385523,27957,9548
Video 72,560427,16831,2495
Video 73,77571,8868,6416
Video 74,448007,8809,563
Video 75,353106,16314,3804
Video 76,395617,41611,6858
Video 77,435410,37166,9563
Video 78,555316,40171,1804
Video 79,958092,22278,1480
Video 80,190480,18217,3840
Video 81,836793,8709,8570
Video 82,116145,11735,1565
Video 83,846828,30447,4640
Video 84,933073,33768,9387
Video 85,548880,17991,1195
Video 86,770631,41831,4288
Video 87,203810,35878,2638
Video 88,187690,22141,5447
Video 89,631604,13728,5346
Video 90,959969,43921,1180
Video 91,666250,30271,2121
Video 92,433456,40927,1425
Video 93,182359,7230,469
Video 94,40369,463,2783
Video 95,506310,28458,9209
Video 96,797413,27749,9700
Video 97,279872,18291,9168
Video 98,69569,34257,7593
Video 99,828078,37160,4928
Video 100,896811,31500,7347
Video 101,65338,21284,2633
Video 102,713667,28955,3743
Video 103,208769,19091,2546
Video 104,334108,14377,2790
Video 105,769736,16790,6846
Video 106,970816,35928,7340
Video 107,501504,44234,8615
Video 108,614845,4702,1078
Video 109,532881,8829,1975
Video 110,772156,31936,5645
Video 111,787881,45599,2231
Video 112,304934,25261,7549
Video 113,552262,16825,1694
Video 114,94009,36656,1058
Video 115,403178,28016,5054
Video 116,807530,9187,626
Video 117,207694,26916,1530
Video 118,87123,35402,9925
Video 119,698858,43303,3716
Video 120,144398,33990,7107
Video 121,154321,7230,6750
Video 122,516958,22723,8367
Video 123,767346,18044,9386
Video 124,567384,4060,5119
Video 125,885470,5620,4165
Video 126,574587,49575,1745
Video 127,205912,37588,9348
Video 128,698893,21076,8917
Video 129,914410,22905,8804
Video 130,103094,27270,7707
Video 131,909282,24593,9005
Video 132,199990,34713,1326
Video 133,325365,26519,3710
Video 134,446578,26364,4588
Video 135,537563,1361,3518
Video 136,284742,24858,794
Video 137,313385,46203,2828
Video 138,161262,47906,7538
Video 139,459854,1907,3050
Video 140,202300,19944,8348
Video 141,425008,4329,4863
Video 142,920667,29030,9211
Video 143,552106,1013,5852
Video 144,715421,5686,8229
Video 145,47240,1550,3862
Video 146,127361,25565,266
Video 147,815949,45945,9343
Video 148,125320,4180,8007
